"dt"	"level"	"Alice"	"Bob"
2014-07-04	10	6800	0
2014-07-04	11	11620	0
2014-07-04	12	10800	0
2014-07-04	13	6080	0
2014-07-04	14	11200	0
2014-07-04	15	5430	0
2014-07-04	16	6520	0
2014-07-04	17	6220	0
2014-07-04	18	15920	0
2014-07-04	19	13250	0
2014-07-04	20	14460	0
2014-07-04	21	19410	0
2014-07-04	22	11810	0
2014-07-04	23	10620	0
2014-07-04	24	10150	0
2014-07-04	25	9240	0
2014-07-04	26	7590	0
2014-07-04	27	10570	0
2014-07-04	28	8120	0
2014-07-04	29	9560	0
2014-07-04	30	11510	0
2014-07-04	31	13260	0
2014-07-04	32	10720	0
2014-07-04	33	12770	0
2014-07-04	34	12850	0
2014-07-04	35	7590	0
2014-07-04	36	0	0
2014-07-04	37	0	0
2014-07-04	38	0	0
2014-07-04	39	0	0
2014-07-04	40	0	0
2014-07-04	41	0	0
2014-07-04	42	0	0
2014-07-04	43	0	0
2014-07-04	44	0	0
2014-07-04	45	0	0
2014-07-04	46	0	0
2014-07-04	47	0	0
2014-07-04	48	0	0
2014-07-04	49	0	0
2014-07-05	1	7280	0
2014-07-05	2	6490	0
2014-07-05	3	10890	0
2014-07-05	4	14030	0
2014-07-05	5	14380	0
2014-07-05	6	9500	0
2014-07-05	7	10860	0
2014-07-05	8	9600	0
2014-07-05	9	8200	0
2014-07-05	10	6800	0
2014-07-05	11	11620	0
2014-07-05	12	10800	0
2014-07-05	13	6080	0
2014-07-05	14	11200	0
2014-07-05	15	5430	0
2014-07-05	16	6520	0
2014-07-05	17	6220	0
2014-07-05	18	15920	0
2014-07-05	19	13250	0
2014-07-05	20	14460	0
2014-07-05	21	19410	0
2014-07-05	22	11810	0
2014-07-05	23	12880	0
2014-07-05	24	10150	0
2014-07-05	25	9240	0
2014-07-05	26	8380	0
2014-07-05	27	10570	0
2014-07-05	28	12500	0
2014-07-05	29	9560	0
2014-07-05	30	11510	0
2014-07-05	31	13260	0
2014-07-05	32	10720	0
2014-07-05	33	12770	0
2014-07-05	34	12850	0
2014-07-05	35	7590	0
2014-07-05	36	0	0
2014-07-05	37	0	0
2014-07-05	38	0	0
2014-07-05	39	0	0
2014-07-05	40	0	0
2014-07-05	41	0	0
2014-07-05	42	0	0
2014-07-05	43	0	0
2014-07-05	44	0	0
2014-07-05	45	0	0
2014-07-05	46	0	0
2014-07-05	47	0	0
2014-07-05	48	0	0
2014-07-05	49	0	0
2014-07-06	1	7280	0
